Date,GD=F,^GSPC,^IXIC
2015-07-28,383.1499938964844,2093.25,5089.2099609375
2015-07-29,384.6000061035156,2108.570068359375,5111.72998046875
2015-07-30,383.8999938964844,2108.6298828125,5128.77978515625
2015-07-31,377.8999938964844,2103.840087890625,5128.27978515625
2015-08-03,368.70001220703125,2098.0400390625,5115.3798828125
2015-08-04,370.8999938964844,2093.320068359375,5105.5498046875
2015-08-05,368.79998779296875,2099.840087890625,5139.93994140625
2015-08-06,367.8500061035156,2083.56005859375,5056.43994140625
2015-08-07,365.29998779296875,2077.570068359375,5043.5400390625
2015-08-10,374.1499938964844,2104.179931640625,5101.7998046875
2015-08-11,366.6499938964844,2084.070068359375,5036.7900390625
2015-08-12,367.95001220703125,2086.050048828125,5044.39013671875
2015-08-13,364.70001220703125,2083.389892578125,5033.56005859375
2015-08-14,362.04998779296875,2091.5400390625,5048.240234375
2015-08-17,360.8800048828125,2102.43994140625,5091.7001953125
2015-08-18,361.8999938964844,2096.919921875,5059.35009765625
2015-08-19,353.8999938964844,2079.610107421875,5019.0498046875
2015-08-20,354.3999938964844,2035.72998046875,4877.490234375
2015-08-21,348.3500061035156,1970.8900146484375,4706.0400390625
2015-08-24,336.70001220703125,1893.2099609375,4526.25
2015-08-25,339.8999938964844,1867.6099853515625,4506.490234375
2015-08-26,336.6000061035156,1940.510009765625,4697.5400390625
2015-08-27,353.3999938964844,1987.6600341796875,4812.7099609375
2015-08-28,366.3500061035156,1988.8699951171875,4828.31982421875
2015-08-31,381.29998779296875,1972.1800537109375,4776.509765625
2015-09-01,363.6499938964844,1913.8499755859375,4636.10009765625
2015-09-02,367.8500061035156,1948.8599853515625,4749.97998046875
2015-09-03,369.5,1951.1300048828125,4733.5
2015-09-04,364.75,1921.219970703125,4683.919921875
2015-09-08,365.6499938964844,1969.4100341796875,4811.93017578125
2015-09-09,358.79998779296875,1942.0400390625,4756.52978515625
2015-09-10,364.3500061035156,1952.2900390625,4796.25
2015-09-11,361.75,1961.050048828125,4822.33984375
2015-09-14,356.8500061035156,1953.030029296875,4805.759765625
2015-09-15,358.6000061035156,1978.0899658203125,4860.52001953125
